place,passing,jockey,up,borderNum,weight,popularity,topHourseNmae,basisWeigh,horseNum,distance,raceTitle,date,R,headCount,topDiff,weather,fieldCondition,money,order,name,time,rap,odds
5阪神7,16-15,秋山真一,35.5,3,482(0),2,(ロードヴォルケーノ),56,6,ダ1400,3歳上1000万下,2015/12/26,12,16,-0.4,晴,稍,"1,050.0",1,カフジテイク ,1:23.5,34.5-37.1,4.3
4中京2,14-14,秋山真一,36.4,5,482(0),1,ラテンロック,56,10,ダ1400,鳴海特別(1000万下),2015/12/06,12,16,0.2,曇,良,540.6,2,カフジテイク ,1:25.1,35.6-37.2,3.8
5京都3,12-12,国分優作,36.3,7,482(0),3,ポメグラネイト,56,14,ダ1400,枚方特別(1000万下),2015/11/14,9,16,0.6,曇,稍,385.3,3,カフジテイク ,1:23.6,34.2-36.7,6.5
3新潟3,13-12,高倉稜,36.3,8,482(+2),2,アスターストーム,55,14,ダ1200,妙高特別(1000万下),2015/10/24,11,15,0.6,曇,良,200.0,4,カフジテイク ,1:11.6,33.8-37.2,6.4
4阪神5,12-14,幸英明,37.3,2,480(+6),2,モーニン,55,4,ダ1400,新涼特別(1000万下),2015/09/21,10,16,1.5,晴,良, ,11,カフジテイク ,1:25.2,34.7-36.9,6.6
3阪神8,12-11,秋山真一,34.6,4,474(+2),4,カジキ,54,5,ダ1200,花のみちS(1600万下),2015/06/28,10,14,0.8,晴,稍,270.0,4,カフジテイク ,1:10.3,34.6-34.9,9.0
3京都4,11-8,国分優作,36.9,2,472(+2),7,ホワイトフーガ,56,3,ダ1400,端午S(OP),2015/05/03,10,16,0.4,晴,良,729.6,2,カフジテイク ,1:23.7,34.1-37.5,14.9
3中山4,11-11-14-12,三浦皇成,38.1,6,470(0),10,クロスクリーガー,56,10,ダ1800,伏竜S(OP),2015/04/05,10,14,1.7,小雨,稍, ,12,カフジテイク ,1:54.7,37.2-37.8,35.5
2中京2,6-5,秋山真一,37.3,7,470(0),3,アキトクレッセント,56,10,ダ1400,昇竜S(OP),2015/03/15,10,12,0.4,曇,良,453.8,3,カフジテイク ,1:24.6,34.6-37.6,8.7
2京都7,11-9,幸英明,36.7,3,470(-2),13,(ショコラブラン),56,4,ダ1400,3歳500万下,2015/02/21,6,15,-0.1,晴,良,720.0,1,カフジテイク ,1:24.8,35.1-37.7,62.7
2京都3,2-2,幸英明,36.8,6,472(-8),11,(コロマンデル),56,12,ダ1200,3歳未勝利,2015/02/07,2,16,-0.3,晴,稍,500.0,1,カフジテイク ,1:12.8,35.8-37.0,130.9
,,,,,,,,,,,,,,,,,,,,コパノリッキー ,,,
4中京2,1-1-1-1,田辺裕信,36.3,1,546(+9),9,ゴールドドリーム,57,1,ダ1800,チャンピオンズC(G1),2017/12/03,11,15,0.1,晴,良,"2,448.0",3,コパノリッキー ,1:50.2,36.2-36.2,13.2
大井,5-3,森泰斗,36.6,5,537(-9),1,ニシケンモノノフ,57,10,ダ1200,JBCスプリント競走(G1),2017/11/03,8,16,0.0,晴,重,"2,100.0",2,コパノリッキー ,1:11.4,34.6-36.8,3.0
盛岡,3-2,田辺裕信,34.6,6,546(+10),1,(ノボバカラ),57,11,ダ1600,マイルチャンピオンシ(G1),2017/10/09,11,16,-0.6,曇,稍,"4,500.0",1,コパノリッキー ,1:34.9, ,3.1
船橋,6-6-6-6,武豊,38.0,1,536(-8),2,(インカンテーション),57,1,ダ1600,かしわ記念(G1),2017/05/05,11,10,-0.4,晴,良,"6,000.0",1,コパノリッキー ,1:39.9,36.6-38.4,3.2
1東京8,3-2,武豊,37.3,2,544(-1),6,ゴールドドリーム,57,4,ダ1600,フェブラリーS(G1),2017/02/19,11,16,1.4,晴,良, ,14,コパノリッキー ,1:36.5,34.0-36.1,9.0
大井,1-1-1-1,戸崎圭太,38.0,2,545(+1),3,アポロケンタッキー,57,2,ダ2000,東京大賞典競走(G1),2016/12/29,10,14,1.7,晴,重,400.0,5,コパノリッキー ,2:07.5,37.9-36.3,5.4
4中京2,3-2-3-4,ルメール,38.8,6,544(+9),3,サウンドトゥルー,57,11,ダ1800,チャンピオンズC(G1),2016/12/04,11,15,1.5,曇,良, ,13,コパノリッキー ,1:51.6,36.3-37.7,6.3
川崎,5-4-1-3,田辺裕信,39.3,5,535(-4),1,アウォーディー,57,7,ダ2100,JBCクラシック(G1),2016/11/03,11,14,0.7,晴,重,400.0,5,コパノリッキー ,2:16.0,30.8-38.8,2.1
盛岡,3-1,田辺裕信,35.2,7,539(-8),1,(ベストウォーリア),57,12,ダ1600,マイルチャンピオンシ(G1),2016/10/10,11,13,-0.3,曇,稍,"4,500.0",1,コパノリッキー ,1:33.5, ,1.8
大井,3-3-3-1,武豊,36.1,3,547(+15),5,(ノンコノユメ),57,3,ダ2000,帝王賞競走(G1),2016/06/29,11,12,-0.7,曇,不,"6,000.0",1,コパノリッキー ,2:03.5,36.0-36.1,6.6
船橋,2-2-2-2,武豊,37.2,1,532(0),3,(ソルテ),57,1,ダ1600,かしわ記念(G1),2016/05/05,11,12,-0.7,晴,稍,"6,000.0",1,コパノリッキー ,1:39.2,37.2-37.3,6.3
1東京8,7-6,武豊,35.6,2,532(0),4,モーニン,57,3,ダ1600,フェブラリーS(G1),2016/02/21,11,16,0.6,晴,重, ,7,コパノリッキー ,1:34.6,34.1-35.6,7.9
大井,1-1-1-1,武豊,39.3,7,532(-2),2,サウンドトゥルー,57,11,ダ2000,東京大賞典競走(G1),2015/12/29,10,14,1.5,晴,良,800.0,4,コパノリッキー ,2:04.5,36.7-37.8,2.7
4中京2,2-1-1-1,武豊,38.7,4,534(+10),1,サンビスタ,57,7,ダ1800,チャンピオンズC(G1),2015/12/06,11,16,0.8,曇,良, ,7,コパノリッキー ,1:51.2,35.5-37.9,3.3
大井,1-1-1-1,武豊,37.0,8,524(0),3,(サウンドトゥルー),57,15,ダ2000,JBCクラシック競走(G1),2015/11/03,10,16,-0.5,晴,不,"8,000.0",1,コパノリッキー ,2:04.4,36.8-37.0,6.2
船橋,1-1-1-1,武豊,40.1,3,524(-12),1,サウンドトゥルー,58,3,ダ1800,日本テレビ盃(G2),2015/10/07,11,12,2.0,晴,良,640.0,3,コパノリッキー ,1:52.2,34.8-38.1,1.6
1東京8,2-2,武豊,36.2,2,536(-2),1,(インカンテーション),57,4,ダ1600,フェブラリーS(G1),2015/02/22,11,16,-0.1,曇,良,"9,744.4",1,コパノリッキー ,1:36.3,34.3-36.3,2.1
1中京4,2-2-2-1,武豊,37.5,4,538(+11),1,(グランドシチー),58,6,ダ1800,東海テレビ杯東海S(G2),2015/01/25,11,14,-0.7,晴,良,"5,400.8",1,コパノリッキー ,1:50.9,36.7-37.5,2.5
大井,1-1-1-1,田辺裕信,37.8,4,527(-9),2,ホッコータルマエ,57,7,ダ2000,東京大賞典競走(G1),2014/12/29,10,16,0.8,曇,重,"2,450.0",2,コパノリッキー ,2:03.8,36.3-37.0,4.1
4中京2,8-10-11-10,田辺裕信,36.9,7,536(+1),1,ホッコータルマエ,57,14,ダ1800,チャンピオンズC(G1),2014/12/07,11,16,1.2,晴,良, ,12,コパノリッキー ,1:52.2,37.5-36.5,3.0
盛岡,1-1-1-1,田辺裕信,35.7,8,535(+1),3,(クリソライト),57,15,ダ2000,JBCクラシック(G1),2014/11/03,10,16,-0.5,曇,重,"8,000.0",1,コパノリッキー ,2:00.8, ,4.8
大井,2-2-1-1,田辺裕信,36.4,6,534(-3),1,ワンダーアキュート,57,7,ダ2000,帝王賞競走(G1),2014/06/25,12,11,0.4,曇,不,"2,100.0",2,コパノリッキー ,2:03.9,37.0-36.0,1.6
船橋,5-5-5-4,田辺裕信,36.5,5,537(+7),2,(セイクリムズン),57,5,ダ1600,かしわ記念(G1),2014/05/05,11,8,-0.4,曇,良,"6,000.0",1,コパノリッキー ,1:39.2,37.9-36.6,2.4
1東京8,2-2,田辺裕信,35.3,7,530(+4),16,(ホッコータルマエ),57,13,ダ1600,フェブラリーS(G1),2014/02/23,11,16,-0.1,晴,良,"9,740.2",1,コパノリッキー ,1:36.0,35.5-35.4,272.1
5中山9,5-4-5-4,戸崎圭太,38.1,3,526(+2),3,ジェベルムーサ,56,6,ダ1800,フェアウェルS(OP),2013/12/23,11,16,1.4,晴,稍, ,9,コパノリッキー ,1:52.3,36.5-37.0,6.6
5東京6,9-6,内田博幸,37.1,2,524(-6),1,エーシントップ,56,3,ダ1400,霜月S(OP),2013/11/17,11,16,1.1,晴,良, ,10,コパノリッキー ,1:24.8,35.3-36.3,4.0
園田,1-1-1-1,福永祐一,37.5,7,530(+2),1,(ベストウォーリア),56,9,ダ1870,兵庫チャンピオンシッ(G2),2013/05/02,10,11,-1.0,晴,良,"2,800.0",1,コパノリッキー ,1:58.4, ,1.5
